"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","perfil","salario_bruto","salario_neto"
"142",32,6,1,1,"Data Scientist / Data Engineer",95000,80000
"143",24,3,0,1,"BI Analyst / Data Analyst",75000,62000
"144",38,12,5,5,"BI Analyst / Data Analyst",75000,63000
"145",27,3,0,0,"BI Analyst / Data Analyst",75000,63500
"146",29,2,0,0,"Data Scientist / Data Engineer",75000,70000
"147",26,1,1,1,"Data Scientist / Data Engineer",47000,41000
"148",32,4,25,25,"Data Scientist / Data Engineer",53000,42000
"149",29,3,3,3,"Data Scientist / Data Engineer",73245,60000
"150",22,2,2,1,"Data Scientist / Data Engineer",60000,54000
"151",29,1,0,0,"Data Scientist / Data Engineer",84700,70000
"152",28,4,1,1,"BI Analyst / Data Analyst",73000,60500
"153",32,6,3,0,"BI Analyst / Data Analyst",72000,60000
"154",34,10,2,2,"Data Scientist / Data Engineer",150000,80000
"155",23,0,0,0,"Data Scientist / Data Engineer",72000,58350
"156",35,3,15,15,"Data Scientist / Data Engineer",136000,92000
"157",21,2,0,2,"Data Scientist / Data Engineer",82000,65000
"158",37,14,4,4,"BI Analyst / Data Analyst",71500,59170
"159",30,10,7,2,"BI Analyst / Data Analyst",70000,58000
"160",32,3,3,3,"Data Scientist / Data Engineer",70000,60000
"161",26,2,1,1,"Data Scientist / Data Engineer",70000,58000
"162",29,4,1,0,"BI Analyst / Data Analyst",68555,55700
"163",26,4,0,0,"BI Analyst / Data Analyst",68000,57500
"164",33,13,5,5,"Data Scientist / Data Engineer",68000,55000
"165",28,0,0,0,"Data Scientist / Data Engineer",67200,57000
"166",43,1,1,1,"Data Scientist / Data Engineer",66070,54838
"167",43,2,2,2,"Data Scientist / Data Engineer",66000,54000
"168",25,3,3,1,"BI Analyst / Data Analyst",65000,54000
"169",33,13,0,0,"Data Scientist / Data Engineer",65000,53000
"170",27,3,3,2,"BI Analyst / Data Analyst",65000,58000
"171",24,1,1,1,"Data Scientist / Data Engineer",70000,58000
"172",37,12,4,5,"BI Analyst / Data Analyst",64400,52500
"173",37,15,7,3,"Data Scientist / Data Engineer",64000,53000
"174",32,7,7,1,"BI Analyst / Data Analyst",62000,51000
"175",30,2,0,0,"BI Analyst / Data Analyst",62000,55330
"176",30,1,1,1,"Data Scientist / Data Engineer",60600,50300
"177",26,8,0,0,"BI Analyst / Data Analyst",60500,49800
"178",26,5,5,5,"BI Analyst / Data Analyst",60500,50200
"179",26,3,0,0,"Data Scientist / Data Engineer",60000,54000
"180",25,3,3,3,"BI Analyst / Data Analyst",60000,50000
"181",40,13,4,4,"BI Analyst / Data Analyst",60000,49500
"182",27,2,0,0,"BI Analyst / Data Analyst",60000,50000
"183",25,2,0,0,"BI Analyst / Data Analyst",60000,49900
"184",24,0,0,0,"Data Scientist / Data Engineer",42000,35000
"185",25,0,0,0,"Data Scientist / Data Engineer",41000,34000
"186",41,12,2,1,"Data Scientist / Data Engineer",110000,70000
